İhaleyi Veren Kurum;İhale Detayları
İZMİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ;DATALOGGER VE EKİPMANLARI ALIMI | 2026/1291259 | İZMİR, 18.08.2026 10:30
BURSA ULUDAĞ ÜNİVERSİTESİ REKTÖRLÜĞÜ BURSA ULUDAĞ ÜNİVERSİTESİ HASTANESİ BAŞHEKİMLİĞİ;BURSA ULUDAĞ ÜNİVERSİTESİ HASTANESİ SUNUCU VE DEPOLAMA ÜNİTESİ ALIMI | 2026/1313335 | BURSA, 17.08.2026 11:00
BURSA ULUDAĞ ÜNİVERSİTESİ REKTÖRLÜĞÜ BURSA ULUDAĞ ÜNİVERSİTESİ HASTANESİ BAŞHEKİMLİĞİ;BURSA ULUDAĞ ÜNİVERSİTESİ HASTANESİ SUNUCU VE DEPOLAMA ÜNİTESİ ALIMI | 2026/1313335 | BURSA, 17.08.2026 11:00
TRABZON BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;Yapay Zeka Destekli Hizmet Takibi ve Sanal Asistan Uygulaması | 2026/1368616 | TRABZON, 17.08.2026 10:30
TRABZON BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;Yapay Zeka Destekli Hizmet Takibi ve Sanal Asistan Uygulaması | 2026/1368616 | TRABZON, 17.08.2026 10:30
SİVAS BELEDİYE BAŞKANLIĞI BİLGİ İŞLEM MÜDÜRLÜĞÜ;VERİ DEPOLAMA ÜNİTESİ DİSK ÇEKMECESİ | 2026/1327662 | SİVAS, 17.08.2026 10:00
SİVAS BELEDİYE BAŞKANLIĞI BİLGİ İŞLEM MÜDÜRLÜĞÜ;VERİ DEPOLAMA ÜNİTESİ DİSK ÇEKMECESİ | 2026/1327662 | SİVAS, 17.08.2026 10:00
SANCAKTEPE BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;YAPAY ZEKALI AKILLI TAKİP VE ATIK YÖNETİMİ MAL ALIMI İŞİ | 2026/1339080 | İSTANBUL, 14.08.2026 11:00
SANCAKTEPE BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;YAPAY ZEKALI AKILLI TAKİP VE ATIK YÖNETİMİ MAL ALIMI İŞİ | 2026/1339080 | İSTANBUL, 14.08.2026 11:00
KADIKÖY BELEDİYE BAŞKANLIĞI KÜLTÜR, SANAT VE SOSYAL İŞLER MÜDÜRLÜĞÜ;2026-2027 EĞİTİM ÖĞRETİM YILI ÇEVRİMİÇİ EĞİTİM SETİ | 2026/1357211 | İSTANBUL, 14.08.2026 11:00
KADIKÖY BELEDİYE BAŞKANLIĞI KÜLTÜR, SANAT VE SOSYAL İŞLER MÜDÜRLÜĞÜ;2026-2027 EĞİTİM ÖĞRETİM YILI ÇEVRİMİÇİ EĞİTİM SETİ | 2026/1357211 | İSTANBUL, 14.08.2026 11:00
TUZLA BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;TUZLA BELEDİYESİ KOÇ PATİ REHABİLİTASYON MERKEZİ ÇEVRE DUVARI, SERT ZEMİN, ÇEVRE AYDINLATMA İŞLERİNİN YAPILMASI | 2026/1259649 | İSTANBUL, 14.08.2026 10:30
TUZLA BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;TUZLA BELEDİYESİ KOÇ PATİ REHABİLİTASYON MERKEZİ ÇEVRE DUVARI, SERT ZEMİN, ÇEVRE AYDINLATMA İŞLERİNİN YAPILMASI | 2026/1259649 | İSTANBUL, 14.08.2026 10:30
KARAMAN GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ;Akıllı Geçiş Kontrol Sistemi Alımı İşi | 2026/1344030 | KARAMAN, 14.08.2026 10:00
KARAMAN GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ;Akıllı Geçiş Kontrol Sistemi Alımı İşi | 2026/1344030 | KARAMAN, 14.08.2026 10:00
KOCAELİ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI İHALE İŞLERİ ŞUBE MÜDÜRLÜĞÜ;GPU Kaynaklı Sunucu | 2026/1287828 | KOCAELİ, 13.08.2026 15:00
KOCAELİ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI İHALE İŞLERİ ŞUBE MÜDÜRLÜĞÜ;GPU Kaynaklı Sunucu | 2026/1287828 | KOCAELİ, 13.08.2026 15:00
AKSARAY İL SAĞLIK MÜDÜRLÜĞÜ AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ;SUNUCU DİSKİ ALIMI | 2026/1448278 | AKSARAY, 13.08.2026 11:00
AKSARAY İL SAĞLIK MÜDÜRLÜĞÜ AKSARAY EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ;SUNUCU DİSKİ ALIMI | 2026/1448278 | AKSARAY, 13.08.2026 11:00
KAHRAMANMARAŞ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI SOSYAL HİZMETLER DAİRESİ BAŞKANLIĞI;MANEVİ EVLAT BUTONU ALIMI | 2026/1309898 | KAHRAMANMARAŞ, 12.08.2026 10:30
KAHRAMANMARAŞ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI SOSYAL HİZMETLER DAİRESİ BAŞKANLIĞI;MANEVİ EVLAT BUTONU ALIMI | 2026/1309898 | KAHRAMANMARAŞ, 12.08.2026 10:30
TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİİ ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ SATIN ALMA DAİRE BAŞKANLIĞI;Generative AI (Üretken Yapay Zeka) ISG Sistemi ve Donanımı Alımı | 2026/1350871 | ANKARA, 10.08.2026 14:00
TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİİ ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ SATIN ALMA DAİRE BAŞKANLIĞI;Generative AI (Üretken Yapay Zeka) ISG Sistemi ve Donanımı Alımı | 2026/1350871 | ANKARA, 10.08.2026 14:00
